nExec,energy, exec_time, cpu_time, memory, heap_size, heap_alloc, heap_free, pss_low, pss_med, pss_high
1,7.34643,5.197,4.903,22.361,16.209,12.824,3.384,0.0,0.0,0.0,
2,7.1925,5.149,4.844,22.228,16.417,12.824,3.592,0.0,0.0,0.0,
3,7.191,5.184,4.907,22.24,16.221,12.826,3.394,0.0,0.0,0.0,
4,7.13471,5.205,4.944,22.344,16.209,12.836,3.372,0.0,0.0,0.0,
5,7.12063,5.289,4.986,22.304,16.401,12.822,3.578,0.0,0.0,0.0,
6,7.12063,5.292,5.022,22.36,16.205,12.793,3.411,0.0,0.0,0.0,
7,7.05027,5.405,5.145,22.048,16.322,12.698,3.623,0.0,0.0,0.0,
8,6.96584,5.555,5.256,21.754,16.148,12.729,3.418,0.0,0.0,0.0,
9,6.81104,5.644,5.359,21.98,16.21,12.787,3.422,0.0,0.0,0.0,
10,6.85326,5.631,5.346,21.803,16.16,12.729,3.43,0.0,0.0,0.0,
11,6.83919,5.579,5.319,21.897,16.14,12.727,3.412,0.0,0.0,0.0,
12,6.81104,5.62,5.313,21.86,16.32,12.744,3.575,0.0,0.0,0.0,
13,6.82511,5.593,5.296,21.809,16.3,12.655,3.644,0.0,0.0,0.0,
14,6.83919,5.686,5.339,21.923,16.152,12.752,3.399,0.0,0.0,0.0,
15,6.82511,5.682,5.346,21.844,16.2,12.752,3.447,0.0,0.0,0.0,
16,6.82511,5.653,5.341,21.844,16.16,12.753,3.406,0.0,0.0,0.0,
17,6.82511,5.672,5.323,22.046,16.206,12.809,3.396,0.0,0.0,0.0,
18,6.83211,5.555,5.254,21.731,16.152,12.752,3.399,0.0,0.0,0.0,
19,6.7902,5.616,5.287,22.042,16.176,12.752,3.423,0.0,0.0,0.0,
20,6.77623,5.619,5.293,21.86,16.222,12.809,3.412,0.0,0.0,0.0,
21,6.83211,5.661,5.329,21.212,16.202,12.81,3.391,0.0,0.0,0.0,
22,6.81814,5.666,5.35,21.412,16.358,12.81,3.547,0.0,0.0,0.0,
23,6.7902,5.685,5.307,21.761,16.23,12.809,3.42,0.0,0.0,0.0,
24,6.77623,5.67,5.311,21.922,16.18,12.758,3.421,0.0,0.0,0.0,
25,6.80417,5.716,5.336,21.914,16.226,12.815,3.41,0.0,0.0,0.0,
26,6.7902,5.701,5.31,21.704,16.312,12.758,3.553,0.0,0.0,0.0,
27,6.87254,5.638,5.291,22.167,16.202,12.815,3.386,0.0,0.0,0.0,
28,6.88666,5.686,5.311,21.995,16.378,12.816,3.561,0.0,0.0,0.0,
29,6.88666,5.673,5.284,22.227,16.218,12.816,3.401,0.0,0.0,0.0,
30,6.77376,5.699,5.317,22.023,16.206,12.815,3.39,0.0,0.0,0.0,
31,6.85843,5.744,5.316,21.876,16.136,12.746,3.389,0.0,0.0,0.0,
32,6.84432,5.701,5.291,22.041,16.206,12.817,3.388,0.0,0.0,0.0,
33,6.83021,5.781,5.294,21.879,16.168,12.76,3.407,0.0,0.0,0.0,
34,6.8161,5.667,5.295,21.899,16.168,12.759,3.408,0.0,0.0,0.0,
35,6.87254,5.94,5.313,21.873,16.172,12.759,3.412,0.0,0.0,0.0,
36,6.83021,5.685,5.308,21.832,16.222,12.816,3.405,0.0,0.0,0.0,
37,6.85843,5.711,5.306,22.053,16.37,12.817,3.552,0.0,0.0,0.0,
38,6.85843,5.671,5.322,22.108,16.222,12.816,3.405,0.0,0.0,0.0,
39,6.87254,5.653,5.323,21.939,16.274,12.853,3.42,0.0,0.0,0.0,
40,6.85843,5.643,5.327,22.075,16.204,12.796,3.407,0.0,0.0,0.0,
41,6.8161,5.717,5.313,22.19,16.254,12.852,3.401,0.0,0.0,0.0,
42,6.84432,5.668,5.302,22.033,16.268,12.699,3.568,0.0,0.0,0.0,
43,6.85843,5.724,5.333,22.202,16.258,12.879,3.378,0.0,0.0,0.0,
44,6.83021,5.799,5.362,22.449,16.498,12.947,3.55,0.0,0.0,0.0,
45,6.78787,5.667,5.328,21.881,16.422,12.868,3.553,0.0,0.0,0.0,
